Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Americas,Barbados,2001,2.45,1.11,0,1.31,0.03
Americas,Barbados,2002,2.21,0.94,0.01,1.24,0.04
Americas,Barbados,2003,1.93,0.98,0.01,0.9,0.04
Americas,Barbados,2004,0.18,0.16,0,0,0.04
Americas,Barbados,2005,0.21,0.17,0,0.01,0.02
Americas,Barbados,2006,2.55,0.37,1.13,0.6,0.58
Americas,Barbados,2007,3.22,0.38,1.9,0.52,0.6
Americas,Barbados,2008,3.57,0.5,1.64,0.53,0.69
Americas,Barbados,2009,7.84,1.33,0.03,6.46,0.02
Americas,Barbados,2010,7.49,1.65,0.03,5.79,0.02
Americas,Barbados,2011,7.64,1.92,0.03,5.66,0.02
Americas,Barbados,2012,6.1,0.01,0,6.08,0.01
Americas,Barbados,2013,5.85,0.01,0,5.83,0.01
Americas,Barbados,2014,2.61,1.34,0,1.23,0.02
Europe,Belarus,2000,3.23,1.27,0,1.92,0.02
Europe,Belarus,2001,3.1,1.36,0,1.71,0.02
Europe,Belarus,2002,12.22,4.3,0,3.84,0.03
Europe,Belarus,2003,12.94,4.3,0,4.14,4.66
Europe,Belarus,2004,10.78,3.91,0,3.7,3.21
Europe,Belarus,2005,6.37,3.12,0.05,1.68,1.38
Europe,Belarus,2006,7.2,3.78,0.09,1.36,1.95
Europe,Belarus,2007,8.13,4.89,0.12,0.8,2.26
Europe,Belarus,2008,1,0.07,0,0.92,0
Europe,Belarus,2009,1.37,0.11,0,1.25,0.02
Europe,Belarus,2010,3,0.18,0,2.82,0
Europe,Belarus,2011,0.06,0.06,0,0,0
Europe,Belarus,2012,0.06,0.06,0,0,0
Europe,Belarus,2013,0.08,0.06,0,0.01,0
Europe,Belarus,2014,0,0,0,0,0
Europe,Belgium,2000,0.02,0,0,0.02,0
Europe,Belgium,2001,0.03,0,0,0.03,0
Europe,Belgium,2002,0.32,0.3,0,0.02,0
Europe,Belgium,2003,0.2,0.15,0,0.04,0
Europe,Belgium,2004,14.17,7.67,1.18,3.15,1.97
Europe,Belgium,2005,13.59,6.74,1.2,2.73,2.77
Europe,Belgium,2006,11.49,5.37,0.89,2.3,3.02
Europe,Belgium,2007,2.47,0.92,0,1.32,0.19
Europe,Belgium,2008,2.33,0.97,0.05,1.15,0.18
Europe,Belgium,2009,2.78,1.28,0.05,1.26,0.18
Europe,Belgium,2010,9.25,1.64,0,1.07,6.93
Europe,Belgium,2011,8.37,1.81,0,0.84,5.7
Europe,Belgium,2012,7.49,1.7,0,0.79,4.45
Europe,Belgium,2013,3.76,1.74,0,1.9,0.12
Europe,Belgium,2014,3.64,1.65,0.3,1.51,0.15
Americas,Belize,2000,3.65,1.35,0.27,1.88,0.13
Americas,Belize,2001,7.87,1.97,2.48,3.14,0.28
Americas,Belize,2002,7.29,1.63,2,3.41,0.26
Americas,Belize,2003,7.39,1.37,1.51,4.13,0.33
Americas,Belize,2004,0.54,0.13,0,0.39,0.01
Americas,Belize,2005,0.61,0.19,0.01,0.4,0.01
Americas,Belize,2006,0.4,0.05,0.01,0.33,0.01
Americas,Belize,2007,6.58,1.37,0,4.67,0.29
Americas,Belize,2008,7.6,2.88,0,4.45,0.33
Americas,Belize,2009,6.48,2,0,4.14,0.45
Americas,Belize,2010,1.49,0.66,0.45,0.47,0.02
Americas,Belize,2011,1.71,0.94,0.2,0.44,0.03
Americas,Belize,2012,1.84,0.95,0.5,0.39,0.03
Americas,Belize,2013,0.48,0.4,0.01,0.03,0
Americas,Belize,2014,0.54,0.42,0,0.05,0.02
Africa,Benin,2000,0.01,0,0,0.01,0
Africa,Benin,2001,0.03,0,0,0.01,0
Africa,Benin,2002,2.13,0.01,0.02,1.76,0
Africa,Benin,2003,2.81,0.59,0.01,2.08,0.11
Africa,Benin,2004,2.73,0.56,0.01,2,0.1
Africa,Benin,2005,3.41,1.01,0,2.3,0
Africa,Benin,2006,5.1,1.74,0,3.08,0
Africa,Benin,2007,6.68,1.97,0.14,3.04,1.6
Africa,Benin,2008,10.4,3.8,0.78,4.48,0.94
Africa,Benin,2009,10.14,4.57,0.56,3.59,1.1
Africa,Benin,2010,1.98,0.44,0,0.95,0.64
Africa,Benin,2011,1.72,0.38,0.02,0.79,0.66
South-East Asia,Bhutan,2000,1.53,0.35,0.02,0.83,0.31
South-East Asia,Bhutan,2001,2.95,1.57,1.12,0.35,0.04
South-East Asia,Bhutan,2002,2.69,1.23,0.83,0.55,0
South-East Asia,Bhutan,2003,4.46,1.5,0,4.29,0.01
South-East Asia,Bhutan,2004,4.19,0.25,0,3.89,0
South-East Asia,Bhutan,2005,3.64,0.34,0.01,3.28,0.01
South-East Asia,Bhutan,2006,0.01,0,0,0.01,0
South-East Asia,Bhutan,2007,0.01,0,0,0.01,0
South-East Asia,Bhutan,2008,10.2,3.78,0.64,3.67,2.1
South-East Asia,Bhutan,2009,12.7,5.8,0.8,4.5,1.4
South-East Asia,Bhutan,2010,12.66,6,1.97,4.21,1
South-East Asia,Bhutan,2011,12.89,4.62,0,2.66,5.88
Americas,Bolivia (Plurinational State of),2000,11.98,4.36,0,2.46,5.07
Americas,Bolivia (Plurinational State of),2001,11.5,4.11,0,2.33,4.86
Americas,Bolivia (Plurinational State of),2002,1.05,0.4,0,0.52,0.13
Americas,Bolivia (Plurinational State of),2003,0.68,0.34,0,0.17,0.15
Americas,Bolivia (Plurinational State of),2004,0.97,0.53,0,0.3,0.17
Americas,Bolivia (Plurinational State of),2005,1.1,0.15,0.69,0.25,0.01
Americas,Bolivia (Plurinational State of),2006,1.18,0.14,0.85,0.19,0.01
Americas,Bolivia (Plurinational State of),2007,0.54,0.15,0,0.08,0.02
Americas,Bolivia (Plurinational State of),2008,0.46,0.41,0,0.08,0.01
Americas,Bolivia (Plurinational State of),2009,0.49,0.37,0,0.1,0
Americas,Bolivia (Plurinational State of),2010,1.83,0.39,0,1.29,0.01
Americas,Bolivia (Plurinational State of),2011,1.47,0.56,0,0.77,0.36
Americas,Bolivia (Plurinational State of),2012,1.83,0.46,0,0.88,0.33
Americas,Bolivia (Plurinational State of),2013,0.54,0.07,0.46,0.01,0.05
Americas,Bolivia (Plurinational State of),2014,0.57,0.07,0.48,0.02,0
Europe,Bosnia and Herzegovina,2000,5.62,2.83,0,1.75,0.97
Europe,Bosnia and Herzegovina,2001,8.84,1.7,0.3,1.49,2.96
Europe,Bosnia and Herzegovina,2002,6.91,2.89,0.31,1.75,3.1
Europe,Bosnia and Herzegovina,2003,0.01,0,0,0.01,0.01
Europe,Bosnia and Herzegovina,2004,0.01,0,0,0.01,0
Europe,Bosnia and Herzegovina,2005,0.01,0,0.01,0,0
Europe,Bosnia and Herzegovina,2006,4.16,2,0,1.87,0.27
Europe,Bosnia and Herzegovina,2007,2.83,1.57,0,0.58,0.35
Europe,Bosnia and Herzegovina,2008,4.77,3.65,0.03,1.07,0.06
Europe,Bosnia and Herzegovina,2009,5.35,3.94,0.05,1.08,0.09
